date;store;type;pallets
07/may;289;DRY GOODS;22
02/may;289;DRY GOODS;23
04/may;289;DRY GOODS;27
05/may;289;DRY GOODS;27
06/may;289;DRY GOODS;29
03/may;291;FRESH GOODS;9
04/may;291;FRESH GOODS;10
05/may;291;FRESH GOODS;11
07/may;291;FRESH GOODS;11
02/may;291;FRESH GOODS;12
06/may;291;FRESH GOODS;14
02/may;291;DRY GOODS;17
04/may;291;DRY GOODS;17
07/may;291;DRY GOODS;17
03/may;291;DRY GOODS;18
05/may;291;DRY GOODS;18
06/may;291;DRY GOODS;18
04/may;294;FRESH GOODS;12
03/may;294;FRESH GOODS;15
05/may;294;FRESH GOODS;15
02/may;294;FRESH GOODS;16
06/may;294;FRESH GOODS;17
04/may;294;DRY GOODS;22
03/may;294;DRY GOODS;24
07/may;294;FRESH GOODS;24
05/may;294;DRY GOODS;25
07/may;294;DRY GOODS;25
02/may;294;DRY GOODS;26
06/may;294;DRY GOODS;27
02/may;296;FRESH GOODS;11
03/may;296;FRESH GOODS;11
04/may;296;FRESH GOODS;14
05/may;296;FRESH GOODS;15
06/may;296;FRESH GOODS;15
07/may;296;FRESH GOODS;15
06/may;296;DRY GOODS;17
03/may;296;DRY GOODS;18
07/may;296;DRY GOODS;18
04/may;296;DRY GOODS;20
02/may;296;DRY GOODS;21
05/may;296;DRY GOODS;21
02/may;297;FRESH GOODS;12
04/may;297;FRESH GOODS;12
03/may;297;FRESH GOODS;13
05/may;297;FRESH GOODS;14
07/may;297;FRESH GOODS;14
07/may;297;DRY GOODS;17
03/may;297;DRY GOODS;18
06/may;297;FRESH GOODS;20
05/may;297;DRY GOODS;22
04/may;297;DRY GOODS;23
02/may;297;DRY GOODS;24
06/may;297;DRY GOODS;24
02/may;298;FRESH GOODS;11
04/may;298;FRESH GOODS;11
03/may;298;FRESH GOODS;12
07/may;298;FRESH GOODS;13
06/may;298;FRESH GOODS;14
02/may;298;DRY GOODS;18
03/may;298;DRY GOODS;18
04/may;298;DRY GOODS;22
05/may;298;DRY GOODS;22
06/may;298;DRY GOODS;25
05/may;298;FRESH GOODS;25
04/may;303;DRY GOODS;6
05/may;303;FRESH GOODS;9
07/may;303;FRESH GOODS;9
03/may;303;DRY GOODS;10
02/may;303;DRY GOODS;11
06/may;303;DRY GOODS;11
07/may;303;DRY GOODS;11
02/may;303;FRESH GOODS;11
03/may;303;FRESH GOODS;11
04/may;303;FRESH GOODS;11
06/may;303;FRESH GOODS;11
05/may;303;DRY GOODS;14
02/may;309;FRESH GOODS;8
05/may;309;FRESH GOODS;8
